game_id,game_name,developer_name,package_name,genre,sub_genre,monetization_model,contains_ads,has_in_app_purchases,multiplayer_support,age_rating,art_style,engine_used,region_focus,publisher_tier,event_theme,release_date,soft_launch_date,last_update_date,was_featured_on_store,featured_start_date,featured_end_date,price_usd,downloads,retention_day1_pct,retention_day7_pct,retention_day30_pct,active_users_30d,avg_session_minutes,avg_daily_sessions,crash_rate_pct,apk_size_mb,update_frequency_days,rating_avg,rating_count,review_count,marketing_spend_usd,cpi_usd,conversion_to_payer_pct,ad_impressions_per_user,ad_revenue_share_pct,iap_revenue_share_pct,arpu_usd,arppu_usd,wishlist_prelaunch,total_revenue_usd,is_weekend_release,has_seasonal_event,cross_platform_available,cloud_save_support,is_hit_game,post_30d_revenue_usd,post_30d_rating_count,featured_duration_days,store_platform,country_code_primary,row_checksum_id
9881,Game_9881_Saga,Studio_1044,com.studio208.game9881,Action,Battle Royale,Paid,No,Yes,,Everyone,2D Cartoon,Unity,SEA,Unknown,,2018-09-23,2018-06-05,2018-11-12,False,,,6.35,272421,14.88,6.72,2.81,10527,21.75,3.58,2.31,110.19,10.0,3.45,20341,11458,1901.29,0.11,13.7,11.04,1.07,100.0,1.09,4.26,578,1681813.75,True,False,True,False,0,1184695.07,25600,,Android,IN,CHK_109880
4658,Game_4658_Quest,Studio_2182,com.studio466.game4658,Simulation,Life Sim,Free,Yes,Yes,Online,Mature 17+,3D Realistic,Unity,India,Indie,,2024-12-17,2024-06-28,2025-07-24,True,2025-01-25,2025-02-22,0.0,167412,23.97,15.43,6.81,8178,30.45,2.94,3.85,206.79,44.0,3.82,15241,12573,2687.25,0.8,7.11,34.22,56.35,47.24,0.48,5.64,865,67972.44,False,False,True,False,0,74584.21,14733,28.0,Android,IN,CHK_104657
2692,Game_2692_World,Studio_1715,com.studio304.game2692,Action,Endless Runner,Free,Yes,Yes,,Teen,Anime,Unity,SEA,Mid-size,,2025-12-25,2025-09-18,2026-02-15,True,2026-06-16,2026-06-30,0.0,218645,38.95,14.0,7.27,12277,25.04,2.59,1.88,164.38,19.0,4.02,26193,17604,11604.19,0.24,4.09,8.91,55.77,48.4,0.94,,375,104151.52,False,False,False,True,0,108299.0,25889,14.0,Android,IN,CHK_102691
4890,Game_4890_World,Studio_272,com.studio290.game4890,Sports,Football,Freemium,Yes,Yes,Online,Teen,Minimalist,Unity,SEA,AAA,,2019-10-16,,2021-05-07,True,2019-12-05,2020-01-01,0.0,1295622,28.43,21.23,12.39,216924,23.8,2.5,4.89,136.56,68.0,3.34,118266,46633,36350.98,1.02,5.41,39.08,31.86,73.28,1.12,,2582,945054.3,False,False,True,True,1,726274.89,111789,27.0,Android,IN,CHK_104889
9279,Game_9279_Quest,Studio_1946,com.studio157.game9279,Action,Battle Royale,Free,No,Yes,Online,Teen,2D Cartoon,Unity,India,Mid-size,Halloween,2021-04-11,2020-11-24,2022-10-13,False,,,0.0,2607927,44.47,17.73,7.42,5995,21.88,4.29,4.03,1329.3403990720944,50.0,3.31,10025,4807,,0.78,3.51,17.69,3.95,87.88,0.81,2.73,1787,122452.12106440574,True,True,False,True,0,123033.08,14807,,Android,IN,CHK_109278
9198,Game_9198_Dash,Studio_234,com.studio2148.game9198,Puzzle,Sudoku,Free,No,Yes,Both,Mature 17+,Minimalist,Unity,US,Mid-size,,2025-11-05,,2027-09-12,False,,,0.0,41389,29.62,21.73,13.46,5723,4.83,3.17,2.03,197.15,37.0,3.6,2510,1574,1392.99,0.48,2.18,5.78,3.74,97.51,0.59,4.83,1672,4457.25,False,False,True,True,0,5079.07,2755,,Android,IN,CHK_109197
316,Game_316_Legends,Studio_877,com.studio680.game316,Simulation,Tycoon,Free,Yes,Yes,,Teen,Minimalist,Unity,US,AAA,,2022-07-19,2022-06-01,2022-10-23,False,,,0.0,55466,37.18,22.13,14.17,5270,17.16,5.83,4.02,103.42,56.0,3.98,5743,4279,844.12,0.26,6.22,24.57,41.09,57.84,1.35,19.11,4070,66317.67,False,False,False,True,0,42730.37,6162,,Android,IN,CHK_100315
4218,Game_4218_World,Studio_784,com.studio1181.game4218,Racing,Drag Racing,Freemium,No,No,Both,Everyone,2D Cartoon,Unity,US,Indie,Summer Fest,2019-12-03,2019-10-01,2021-01-05,True,2020-03-26,2020-04-02,0.0,50203,31.78,22.57,10.28,3098,18.49,2.97,1.86,44.4,19.0,3.92,4161,3219,1959.77,0.42,2.47,13.75,1.21,97.97,0.49,3.7,2109,4715.84,False,True,False,True,0,4686.58,3512,7.0,Android,IN,CHK_104217
9153,Game_9153_Arena,Studio_69,com.studio595.game9153,Action,Shooter,Free,No,No,,Everyone,Minimalist,Unity,LATAM,Indie,,2020-09-29,2020-06-04,2022-08-29,False,,,0.0,87195,30.52,14.91,5.1,5764,11.03,2.04,2.57,97.28,28.0,3.81,5822,2307,2128.64,0.4,2.54,0.0,2.55,96.11,1.05,13.29,86,29434.07,False,False,False,False,0,18685.27,5023,,Android,IN,CHK_109152
4844,Game_4844_Arena,Studio_1984,com.studio1503.game4844,RPG,Idle RPG,Free,Yes,No,,Everyone,Pixel,Unity,SEA,Indie,Halloween,2020-01-21,2019-12-26,2021-08-26,True,2020-04-18,2020-05-04,0.0,229241,25.71,15.97,8.18,13779,27.45,4.0,1.11,173.13,69.0,3.61,13861,7777,4483.29,1.06,0.1,33.43,48.11,44.26,0.12,,995,1601.97,False,True,False,False,0,1872.97,14874,16.0,Android,IN,CHK_104843
6787,Game_6787_Arena,Studio_65,com.studio397.game6787,Simulation,Life Sim,Freemium,Yes,Yes,,Teen,2D Cartoon,Unreal,India,Indie,,2019-06-09,2018-12-14,2021-02-05,False,,,0.0,24589,21.55,7.79,5.23,1464,22.5,1.92,2.87,262.74,70.0,3.69,1056,498,1013.98,0.53,7.14,29.76,51.3,48.05,1.08,10.01,842,17704.81,True,False,False,False,0,15281.89,1409,,Android,IN,CHK_106786
3111,Game_3111_Quest,Studio_306,com.studio283.game3111,RPG,Idle RPG,Freemium,Yes,Yes,Both,Everyone,2D Cartoon,Unity,LATAM,Mid-size,,2022-06-12,,2023-11-19,True,2022-06-17,2022-07-01,0.0,63057,26.05,13.78,5.45,3920,22.98,1.4,1.95,204.31,35.0,3.68,6528,2374,2605.97,1.49,2.63,30.95,83.82,11.66,0.8,11.58,468,19568.23,True,False,False,False,0,22692.23,7151,14.0,Android,IN,CHK_103110
440,Game_440_World,Studio_1210,com.studio1027.game440,Strategy,Card Strategy,Freemium,Yes,No,,Everyone,2D Cartoon,Unity,LATAM,Indie,Summer Fest,2021-03-31,2021-02-12,2022-12-15,False,,,0.0,19903,28.89,19.62,6.69,1821,29.67,4.01,5.06,294.26,28.0,3.6,2232,1153,975.31,0.41,4.0,32.36,77.32,26.36,0.35,1.8,2796,1609.8,False,True,True,True,0,1582.32,2903,,Android,IN,CHK_100439
2474,Game_2474_Arena,Studio_1214,com.studio178.game2474,Action,Shooter,Freemium,Yes,Yes,,Everyone,Anime,Godot,SEA,AAA,,2022-05-08,2022-03-06,2023-08-21,False,,,0.0,840783,21.41,13.24,7.62,67110,23.85,2.46,2.98,178.14,52.0,3.34,28423,23726,72574.79,1.08,5.84,51.04,65.39,33.99,1.01,,9432,417329.2,True,False,False,True,0,471407.73,37588,,Android,IN,CHK_102473
6096,Game_6096_Legends,Studio_1001,com.studio1420.game6096,Casual,Party Game,Freemium,No,Yes,,Everyone,Minimalist,Unity,Europe,Indie,,2021-08-16,2021-06-29,2022-02-12,False,,,0.0,3011,7.46,5.52,3.74,141,14.76,3.67,2.45,205.99,61.0,3.63,128,88,129.29,0.33,8.77,9.52,5.17,99.27,0.6,8.34,510,2206.33,False,False,False,True,0,1868.34,128,,Android,IN,CHK_106095
9146,Game_9146_Arena,Studio_785,com.studio1401.game9146,Sports,Cricket,Free,Yes,No,,Everyone,3D Realistic,Unreal,SEA,Indie,,2025-10-17,2025-05-31,2027-07-10,False,,,0.0,14915,37.09,25.67,13.6,2234,18.01,3.32,0.1,293.52,28.0,3.76,1076,824,4273.84,,2.33,39.24,67.79,32.33,2.08,25.5,274,9124.73,False,False,False,True,0,7514.53,1352,,Android,IN,CHK_109145
7774,Game_7774_Saga,Studio_1912,com.studio1378.game7774,RPG,Turn-Based,Subscription,Yes,Yes,Both,Everyone,3D Realistic,Unreal,Global,Indie,,2021-07-24,2021-03-11,2023-06-17,True,2021-11-10,2021-11-26,5.23,720955,14.55,6.82,2.29,10175,19.47,3.11,2.07,36.94,18.0,3.25,86414,59183,9856.62,0.49,2.68,34.47,60.6,29.09,2.25,19.92,174,2678444.58,True,False,False,False,0,2902316.2,71771,16.0,Android,IN,CHK_107773
1569,Game_1569_Legends,Studio_1519,com.studio1434.game1569,Casual,Party Game,Free,No,No,,Teen,2D Cartoon,Unity,US,Mid-size,,2019-08-10,2019-02-16,2020-04-07,True,2019-09-18,2019-10-16,0.0,821234,34.09,17.23,7.77,46493,21.51,4.13,3.16,85.81,54.0,3.75,86808,32966,98372.66,0.6,5.4,15.26,5.3,79.75,0.9,10.03,797,446925.21,True,False,False,True,0,362550.64,110171,28.0,Android,IN,CHK_101568
2733,Game_2733_Dash,Studio_1768,com.studio770.game2733,Strategy,4X,Freemium,No,Yes,,Teen,2D Cartoon,Custom,SEA,Indie,,2021-02-24,2020-11-29,2022-06-21,False,,,0.0,45716,26.86,11.09,6.91,2545,21.29,4.35,3.0,129.46,17.0,4.25,5342,2835,989.21,0.94,7.6,2.99,7.71,88.8,1.1,4.3,1004,14962.82,False,False,False,True,0,12605.94,7506,,Android,IN,CHK_102732
170,Game_170_World,Studio_1931,com.studio703.game170,Strategy,Auto Chess,Freemium,No,Yes,,Mature 17+,3D Realistic,Unity,US,Mid-size,,2024-05-23,2024-03-10,2025-12-03,True,2024-11-05,2024-11-14,0.0,38208,19.7,14.33,5.3,2513,29.53,3.12,2.06,67.41,70.0,3.77,818,520,3366.67,0.7,3.87,17.07,1.16,96.41,0.64,,141,10553.17,False,False,True,True,0,7887.48,757,9.0,Android,IN,CHK_100169
9284,Game_9284_Arena,Studio_1152,com.studio1453.game9284,Action,Shooter,Subscription,Yes,Yes,,Everyone,Anime,Unreal,India,AAA,Christmas,2025-03-01,2024-12-16,2025-12-23,False,,,2.4,58920,40.93,19.8,12.9,9341,25.2,3.49,1.74,127.52,29.0,3.89,6154,4760,1273.49,0.05,2.02,19.32,28.66,76.29,1.43,5.21,2369,99141.84,True,True,False,False,0,76680.46,5293,,Android,IN,CHK_109283
488,Game_488_Legends,Studio_1215,com.studio1000.game488,RPG,Turn-Based,Paid,Yes,No,Online,Everyone,3D Realistic,Unreal,Global,Unknown,,2025-08-19,2025-04-29,2025-09-13,False,,,2.08,53072,26.67,14.88,7.04,4931,35.79,1.85,0.33,87.26,3.0,3.76,1725,818,4721.97,0.76,10.65,39.5,59.17,46.28,0.79,11.54,260,131583.96,False,False,True,True,0,137014.98,1711,,Android,IN,CHK_100487
7916,Game_7916_Dash,Studio_459,com.studio2186.game7916,Strategy,4X,Free,Yes,Yes,,Teen,3D Realistic,Unity,India,Indie,,2020-07-22,2020-04-06,2021-07-30,False,,,0.0,102025,34.58,23.3,11.44,10353,28.25,1.64,0.28,191.32,40.0,3.74,2132,760,6897.41,0.9,4.9,28.45,44.44,62.37,0.86,3.12,1026,16481.21,False,False,False,True,0,18693.38,2358,,Android,IN,CHK_107915
5685,Game_5685_Saga,Studio_19,com.studio628.game5685,Simulation,City Builder,Paid,Yes,Yes,Online,Teen,Minimalist,Custom,India,Indie,,2025-09-13,2025-07-12,2025-10-01,False,,,6.38,554822,22.23,9.18,3.29,15696,32.1,4.17,3.05,247.6,70.0,3.33,34423,26497,6155.43,0.05,11.52,32.46,24.01,70.69,1.77,8.43,869,3563501.26,True,False,True,False,0,3457647.55,46715,,Android,US,CHK_105684
9981,Game_9981_Tycoon,Studio_1608,com.studio605.game9981,Casual,Hypercasual,Free,Yes,Yes,,Everyone,2D Cartoon,Custom,LATAM,Mid-size,Halloween,2020-06-16,2020-03-31,2020-11-27,False,,,0.0,57138,29.52,11.15,7.33,5223,4.18,4.67,2.96,225.36,42.0,3.28,5771,2432,1508.35,1.09,2.41,33.16,33.78,59.54,0.64,8.73,658,12541.02,False,True,True,False,0,9875.93,6143,,Android,IN,CHK_109980
4690,Game_4690_Quest,Studio_340,com.studio1117.game4690,Puzzle,Sudoku,Free,No,Yes,Online,Teen,Minimalist,Unity,India,Indie,Summer Fest,2024-12-05,2024-11-04,2025-12-11,False,,,0.0,23223,28.15,12.2,8.28,1614,15.37,3.05,0.1,204.58,12.0,3.61,1228,605,1175.33,0.72,5.29,10.82,2.28,91.55,0.4,,500,6108.88,False,True,False,True,0,6037.86,1674,,Android,IN,CHK_104689
5082,Game_5082_Tycoon,Studio_2154,com.studio1621.game5082,RPG,Dungeon Crawler,Free,Yes,No,Both,Mature 17+,2D Cartoon,Unreal,Europe,Indie,Christmas,2024-08-11,2024-07-20,2025-05-30,False,,,0.0,56336,39.74,26.51,7.38,4580,31.56,2.9,3.66,194.19,19.0,3.47,4484,1742,802.47,,3.32,23.29,46.12,53.8,0.56,5.79,209,11149.36,True,True,True,False,0,11972.36,4742,,Android,BR,CHK_105081
2288,Game_2288_Saga,Studio_1595,com.studio1678.game2288,Puzzle,Sudoku,Free,No,Yes,Both,Everyone,Pixel,Unreal,LATAM,Indie,Halloween,2023-09-16,2023-05-20,2024-03-27,True,2023-11-09,2023-12-07,0.0,44790,25.62,13.7,6.68,1799,17.44,3.92,3.19,105.19,39.0,3.56,3487,1730,,1.0,4.37,15.8,1.2,100.0,0.63,6.89,639,13571.23,True,True,False,True,0,9393.29,4793,28.0,Android,IN,CHK_102287
9456,Game_9456_Legends,Studio_538,com.studio1873.game9456,RPG,MMORPG,Paid,Yes,No,,Mature 17+,3D Realistic,Godot,Europe,Indie,IPL,2020-11-22,2020-10-04,2022-09-19,True,2021-03-23,2021-04-05,2.08,513364,30.89,17.59,5.8,32687,32.2,2.48,3.45,235.67,59.0,3.91,51828,25167,29556.36,0.91,10.08,34.65,31.55,59.22,0.65,5.03,1836,1057505.52,True,True,False,False,0,901320.1,44149,13.0,Android,IN,CHK_109455
6395,Game_6395_Quest,Studio_379,com.studio315.game6395,Strategy,Tower Defense,Freemium,Yes,No,,Everyone,Anime,Unreal,Global,Indie,,2022-03-11,2021-10-26,2023-03-27,False,,,0.0,48845,47.89,19.81,13.81,7817,24.41,3.01,2.05,119.98,20.0,3.69,1077,448,191.69,0.73,2.03,29.3,54.01,51.49,0.57,2.37,662,3037.1,False,False,True,True,0,3406.79,1428,,Android,IN,CHK_106394
1982,Game_1982_Tycoon,Studio_2161,com.studio1377.game1982,Strategy,Tower Defense,Free,Yes,Yes,,Everyone,3D Realistic,Unreal,Global,Indie,,2018-08-28,2018-06-22,2019-03-29,False,,,0.0,68025,28.49,13.0,5.74,3536,15.58,1.72,4.44,161.68,60.0,3.18,5879,2714,2283.72,0.81,3.42,37.23,24.26,70.59,0.78,4.65,781,11212.95,False,False,False,False,0,7005.83,8757,,Android,IN,CHK_101981
7244,Game_7244_Rush,Studio_1530,com.studio957.game7244,Action,Fighting,Paid,Yes,No,,Everyone,2D Cartoon,Unreal,LATAM,Mid-size,,2019-09-11,2019-06-23,2019-12-05,False,,,5.57,216724,14.15,7.98,5.54,16274,26.43,2.93,0.1,125.11,36.0,3.52,19323,13785,40169.56,0.84,5.54,36.07,28.83,65.74,0.21,2.62,1417,763107.21,False,False,False,True,0,737784.87,27871,,Android,IN,CHK_107243
